startupID,startupName,ICB_industry,accelaratorResult,accelerator,accleratorDate,ICB_sector,businessModel,dealInvestmentAmount,description,equityValuation,foundedDate,groupClassification,incubator,incubatorDate,incubatorResult,investmentStage,investorName,investorType,keyword,linkedinURL,roundDate,roundInvestmentAmount,roundInvestorCount,roundLeadInvestorType,roundValuation,source,stageClassification,startupClassification,startupStatus,state,founderName,city,website,Lat,Lon
YNOS2197,SIMPLIFY WELLNESS INDIA,Healthcare,,,,Healthcare,B2C,[''],"Simplify Wellness Inc.,  a healthcare technology company,  provides DoctorC,  a platform that enables consumers to compare prices and quality across various diagnostic centers and labs in India. It serves urban and middle to upper middle class consumers. ",[''],2013-01-01,['Healthcare Analytics and Software'],,,,['Seed'],['SANJAY JESRANI'],['Angel'],['Health care techonolgy company'],[''],[Timestamp('2014-09-16 00:00:00')],[20.749365700000002],,,,VCC,['Pre-Seed'],['Health-Tech'],,Andhra Pradesh,"['Karan Kurani', 'Mansi Gandhi', 'Neehar Cherabuddi']",Hyderabad,http://www.doctorc.in,17.437462,78.448288
YNOS2198,SIMPLYSMART TECHNOLOGY,Technology,,,,Software & Computer Services,B2B,[''],"Simply Smart Technology is a Chicago-based IT service provider offering a IT,  tech,  and website-related services to its clients.",[''],2015-01-01,['IT Operations'],,,,['Seed'],['RHEA LUCILLE SILVA'],['Angel'],['IT service provider'],[''],[Timestamp('2016-02-09 00:00:00')],[''],,,,VCC,[''],['Software and Internet Services'],,,[],Chicago,http://simplysmart.tech,,
YNOS2199,SIMULANIS,Technology,,,,Technology Hardware & Equipment,B2C,,"Simulanis is a marketplace for education services,  which provides fee payment solutions.",,,['VR-AR'],Edugild,2016-03-01 0:00:00,,,[''],,['AR and VR'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",VI,,['Technology'],,Delhi,[],New Delhi,https://www.simulanis.com/,28.526592,77.290169
YNOS2200,SIMULATE LEARNING SOLUTION,Technology,,,,Software & Computer Services,B2C,,,,,['Peer teaching and teaching innovations'],IIT-KANPUR  SIIC,2015-01-01 0:00:00,,,[''],,['Innovative Teaching'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",VI,,['Edu-Tech'],,,[],Kanpur,,26.449923,80.331871
YNOS2201,SINGHAL LABS,Industrials,,,,Industrial goods and services,B2B,,The idea behind the firm was to build cutting edge products that solves a lot of our day to day problems or needs. We strongly believe in using internet and smartphones as a medium to reach the masses.,,,['Product development'],IIT-KANPUR  SIIC,2015-01-01 0:00:00,,,[''],,['Product Development'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",VI,,['Industrial and Business Products and Services'],,,[],kochi,http://www.singhallabs.com,,
YNOS2202,SINGULAR TECHNOLOGIES,Industrials,,,,Industrial goods and services,B2B,,"Singular???s unified marketing analytics platform delivers attribution,  cost aggregation,  creative reporting & workflow automation.",,,['Product development'],,,,,[''],,['Marketing automation'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",TCA,,['Industrial and Business Products and Services'],Angel investment,,"['ERAN FRIEDMAN', 'GADI ELIASHIV', 'SUSAN KUO']",San Francisco,,13.094454,77.586014
YNOS2203,SIRFTICKET ONLINE SERVICES,Consumerservices,,,,Retail,B2C,,Online Services,,,['Booking'],KIIT-TBI,2015-01-01 0:00:00,,,[''],,['Online Ticket Sales'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",VI,,['Internet marketplace and e-Commerce'],,,[],Bhubaneswar,http://www.sirfticket.com,,
YNOS2204,SIRIONLABS,Industrials,,,,Industrial goods and services,B2B,[''],SirionLabs is the leading enterprise SaaS provider for post-signature contract management.,[''],2012-01-01,['Enterprise Software'],,,,['Series A'],['AJAY AGARWAL'],['Angel'],['Enterprise Software'],[''],[Timestamp('2014-04-24 00:00:00')],[399.12015210000004],,,,VCC,['Series B'],['Software and Internet Services'],,,['AJAY AGRAWAL'],Dublin,http://www.sirionlabs.com,,
YNOS2205,SIRIUS VENTURES .  (AUTO SPARE HOUSE.COM),Financials,,,,Financial services,B2B,,"Sirius Venture Partners (Sirius) is a private-owned Venture Capital company based in Wiesbaden und D??sseldorf,  Germany.",,2004-01-01,['Alternative Funding Platforms'],,,,,[''],,['Venture capital company'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",TCA,,['Fin-Tech and Payments'],Angel investment,,"['DAVID JETEL',  'ERNST G. MAYER', 'WALFRAM GLOCK']",Wiesbaden,,,
YNOS2206,SISCO HOME NEEDS,Consumergoods,,,,personal and household goods,B2C,,Sisco home needs is a super market which has a wide range of household items.,,,['Household Products'],,,,,[''],,"['Household Products',  'Super market']",,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",TCA,,['Consumer Products and Services'],Angel investment,Tamil Nadu,[],Chennai,,12.981241,80.20945
YNOS2207,SIVATEC INFOTECH,Technology,,,,Software & Computer Services,B2B,,Software Development,,,['Internet and software development'],PSG - STEP,2015-01-01 0:00:00,,,[''],,['Software Development'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",VI,,['Software and Internet Services'],,Tamil Nadu,[],Coimbatore,http://www.sivatec.com,11.017363,76.958885
